City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,6.4,80,65,6.81,AU,1684618589
1,palmer,42.1584,-72.3287,18.81,86,100,1.54,US,1684618589
2,jamestown,42.097,-79.2353,14.77,67,40,7.72,US,1684618579
3,port mathurin,-19.6833,63.4167,24.98,75,8,2.21,MU,1684618590
4,puerto ayora,-0.7393,-90.3518,29.98,91,93,4.02,EC,1684618590
5,puerto natales,-51.7236,-72.4875,1.47,92,100,1.12,CL,1684618583
6,kholmsk,47.0511,142.0569,6.7,96,100,3.24,RU,1684618590
7,west island,-12.1568,96.8225,25.99,89,40,3.09,CC,1684618590
8,ushuaia,-54.8,-68.3,6.81,57,0,4.12,AR,1684618590
9,albany,42.6001,-73.9662,18.52,91,100,0.89,US,1684618202
10,verkhniye kigi,55.4083,58.6044,9.52,53,1,1.37,RU,1684618590
11,constitucion,-35.3333,-72.4167,10.1,77,59,1.51,CL,1684618539
12,waitangi,-43.9535,-176.5597,15.46,95,41,3.13,NZ,1684618590
13,iqaluit,63.7506,-68.5145,-2.15,68,75,5.66,CA,1684618591
14,remire-montjoly,4.9167,-52.2667,27.02,89,20,2.57,GF,1684618591
15,bethel,41.3712,-73.414,18.62,89,100,2.06,US,1684618591
16,kapa'a,22.0752,-159.319,28.99,76,20,3.6,US,1684618591
17,punta arenas,-53.15,-70.9167,6.06,75,0,2.57,CL,1684618354
18,adamstown,-25.066,-130.1015,24.46,82,61,8.01,PN,1684618591
19,aasiaat,68.7098,-52.8699,-1.14,92,100,4.54,GL,1684618591
20,lompoc,34.6391,-120.4579,26.55,77,100,8.05,US,1684618591
21,kendraparha,20.5,86.4167,27.76,89,3,5.26,IN,1684618591
22,tolanaro,-25.0319,46.9987,24.04,78,40,7.2,MG,1684618591
23,lodi,38.1302,-121.2725,28.25,51,0,0.45,US,1684618543
24,labrador city,52.9463,-66.9114,12.95,41,0,9.77,CA,1684618597
25,tiksi,71.6872,128.8694,-9.42,89,100,2.78,RU,1684618597
26,san antonio de pale,-1.4014,5.6325,26.94,74,93,5.25,GQ,1684618597
27,tura,25.5198,90.2201,21.27,90,0,2.01,IN,1684618597
28,thompson,55.7435,-97.8558,10.09,37,20,3.6,CA,1684618597
29,richards bay,-28.783,32.0377,15.68,83,54,2.3,ZA,1684618597
30,geraldton,-28.7667,114.6,16.23,44,53,6.69,AU,1684618597
31,vilyuchinsk,52.9306,158.4028,1.15,100,100,0.45,RU,1684618597
32,tulun,54.5611,100.5792,5.38,70,8,1.39,RU,1684618597
33,margaret river,-33.95,115.0667,11.51,75,96,4.94,AU,1684618597
34,monte azul,-15.155,-42.8747,20.31,35,1,2.72,BR,1684618597
35,fortuna,40.5982,-124.1573,16.63,89,75,4.63,US,1684618598
36,malindi,-3.2175,40.1191,27.09,78,20,2.57,KE,1684618598
37,grytviken,-54.2811,-36.5092,1.87,86,100,4.13,GS,1684618598
38,bomdila,27.25,92.4,8.83,92,28,2.43,IN,1684618598
